INITIAL,NUMBER,Key,EntryLocation,ExitLocation,EntryDate,ExitDate
ALS ,2000,ALS 2000,X 344E,X 344E,3/24/2017,3/24/2017
CNW ,8646,CNW 8646,NZ021S,NZ021 ,2/15/2017,2/16/2017
CNW ,8646,CNW 8646,NZ021S,NZ021S,2/16/2017,2/17/2017
CNW ,8646,CNW 8646,NZ021S,NZ021S,2/17/2017,2/17/2017
CNW ,8646,CNW 8646,NZ021S,NZ021S,2/17/2017,2/17/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/18/2017,2/18/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/18/2017,2/19/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/18/2017,2/19/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/19/2017,2/19/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/19/2017,2/20/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/19/2017,2/20/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/20/2017,2/20/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/20/2017,2/20/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/20/2017,2/20/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/20/2017,2/21/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/21/2017,2/22/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/21/2017,2/22/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/22/2017,2/22/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/22/2017,2/23/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/22/2017,2/23/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/23/2017,2/23/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/23/2017,2/24/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/23/2017,2/24/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/24/2017,2/24/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/24/2017,2/25/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/24/2017,2/25/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/25/2017,2/25/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/25/2017,2/26/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/25/2017,2/26/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/26/2017,2/26/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/26/2017,2/27/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/26/2017,2/27/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,2/27/2017,2/27/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/27/2017,2/28/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,2/27/2017,2/28/2017
CNW ,8646,CNW 8646,NZ021S,EN000 ,2/28/2017,2/28/2017
CNW ,8646,CNW 8646,NZ021S,NZ021S,2/28/2017,3/1/2017
CNW ,8646,CNW 8646,NZ021S,NZ021 ,3/1/2017,3/2/2017
CNW ,8646,CNW 8646,NZ021S,NZ021S,3/2/2017,3/2/2017
CNW ,8646,CNW 8646,NZ021S,NZ021S,3/2/2017,3/2/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/2/2017,3/3/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/3/2017,3/4/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/3/2017,3/4/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/4/2017,3/4/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/4/2017,3/4/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/4/2017,3/4/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/5/2017,3/5/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/5/2017,3/5/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/5/2017,3/5/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/6/2017,3/6/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/6/2017,3/6/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/6/2017,3/6/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/7/2017,3/7/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/7/2017,3/8/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/7/2017,3/8/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/8/2017,3/8/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/8/2017,3/8/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/8/2017,3/8/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/9/2017,3/10/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/10/2017,3/10/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/10/2017,3/10/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/10/2017,3/10/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/10/2017,3/11/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/10/2017,3/11/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/11/2017,3/11/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/11/2017,3/12/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/11/2017,3/12/2017
CNW ,8646,CNW 8646,NZ020 ,EN000 ,3/12/2017,3/13/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/13/2017,3/14/2017
CNW ,8646,CNW 8646,NZ020 ,NZ020 ,3/13/2017,3/14/2017
CNW ,8646,CNW 8646,NZ021 ,EN000 ,3/14/2017,3/15/2017
CNW ,8646,CNW 8646,NZ021 ,NZ021S,3/15/2017,3/16/2017
CNW ,8646,CNW 8646,NZ021 ,NZ021 ,3/16/2017,3/16/2017
CNW ,8701,CNW 8701,NZ021S,NZ021 ,2/15/2017,2/16/2017
CNW ,8701,CNW 8701,NZ021S,NZ021S,2/16/2017,2/17/2017
CNW ,8701,CNW 8701,NZ021S,NZ021S,2/17/2017,2/17/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,2/18/2017,2/18/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,2/18/2017,2/19/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,2/18/2017,2/19/2017
CNW ,8701,CNW 8701,NZ021S,EN000 ,2/19/2017,2/19/2017
CNW ,8701,CNW 8701,NZ021S,NZ021S,2/19/2017,2/20/2017
CNW ,8701,CNW 8701,NZ021S,NZ021 ,2/20/2017,2/25/2017
CNW ,8701,CNW 8701,NZ021S,NZ021S,2/25/2017,2/26/2017
CNW ,8701,CNW 8701,NZ021S,NZ021S,2/26/2017,2/26/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,2/26/2017,2/26/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,2/26/2017,2/27/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,2/26/2017,2/27/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,2/27/2017,2/27/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,2/27/2017,2/28/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,2/27/2017,2/28/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,2/28/2017,2/28/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,2/28/2017,3/1/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,2/28/2017,3/1/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,3/1/2017,3/1/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/1/2017,3/2/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/1/2017,3/2/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,3/2/2017,3/2/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/2/2017,3/3/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/2/2017,3/3/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,3/3/2017,3/3/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/3/2017,3/4/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/3/2017,3/4/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,3/4/2017,3/4/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/4/2017,3/4/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/4/2017,3/4/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,3/5/2017,3/5/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/5/2017,3/5/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/5/2017,3/5/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,3/5/2017,3/6/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/6/2017,3/6/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/6/2017,3/6/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,3/7/2017,3/7/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/7/2017,3/8/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/7/2017,3/8/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,3/8/2017,3/8/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/8/2017,3/8/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/8/2017,3/8/2017
CNW ,8701,CNW 8701,NZ020 ,EN000 ,3/9/2017,3/10/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/10/2017,3/10/2017
CNW ,8701,CNW 8701,NZ020 ,NZ020 ,3/10/2017,3/10/2017
